aws1-root-rm,aws2-root-rm,vmware-root-rm,vcloud-root-rm,--
0,1,0,0,,
0,0,1,2,,
4,0,0,1,,
0,6,1,0,,
0,0,6,1,,
1,1,1,1,,
0,0,1,3,,
4,5,1,0,,
9,0,8,3,,
0,0,0,2,,
0,0,1,0,,
0,7,2,1,,
3,0,2,2,,
0,0,1,1,,
9,0,1,3,,
1,5,4,3,,
0,0,1,3,,
0,0,1,2,,
5,0,1,5,,
3,6,7,0,,
0,0,2,2,,
0,0,1,3,,
1,0,1,1,,
0,5,7,3,,
0,0,1,4,,
1,0,1,1,,
0,0,0,3,,
1,7,6,3,,
1,0,1,3,,
1,0,1,3,,
0,0,1,3,,
0,6,5,3,,
1,0,1,3,,
0,0,1,2,,
0,0,1,4,,
0,6,1,3,,
0,0,1,1,,
1,1,1,2,,
1,0,1,2,,
0,5,6,2,,
0,0,1,3,,
0,0,1,2,,
1,0,1,1,,
0,5,1,2,,
0,1,2,1,,
0,0,1,3,,
0,0,1,1,,
1,6,7,3,,
3,1,0,3,,
1 ,0,1,3,,
