aws1-root-write,aws2-root-write,vmware-root-write,vcloud-root-write
1,1,2,14,
1,1,2,14,
1,1,2,14,
1,1,3,8,
1,1,2,14,
1,1,2,16,
1,1,2,11,
1,1,2,11,
2,2,2,12,
1,1,2,14,
1,1,2,12,
2,2,2,15,
1,1,2,17,
1,2,2,15,
1,1,3,19,
1,1,2,28,
1,1,2,22,
1,2,1,25,
1,1,3,23,
1,1,1,26,
1,1,1,27,
1,1,1,28,
1,2,3,24,
1,1,1,25,
1,2,1,24,
1,1,2,26,
1,1,2,26,
1,1,4,29,
1,1,2,28,
1,1,2,26,
1,1,3,25,
1,2,1,22,
1,1,2,27,
1,1,1,31,
1,2,2,27,
2,1,2,27,
1,1,2,30,
1,1,2,28,
1,1,2,28,
1,1,2,29,
2,2,2,22,
1,1,2,28,
1,1,1,29,
1,2,2,30,
1,1,1,26,
2,1,1,24,
1,1,3,24,
1,1,1,31,
1,1,2,29,
1 ,1 ,2,32 ,
